year,publisher,title,genres,console,max_players,review_score,sales,price 
2006,Ubisoft,WarTech: Senko no Ronde,Action,X360,2,60,0.03,12.95
2007,2K,Fantastic Four: Rise of the Silver Surfer,Action,Nintendo DS,1,35,0.04,14.95
2007,2K,Fantastic Four: Rise of the Silver Surfer,Action,Nintendo Wii,4,39,0.04,12.95
2007,2K,The BIGS,Sports,Nintendo Wii,4,66,0.36,17.95
2007,2K,Major League Baseball 2K7,Sports,PlayStation 3,2,74,0.24,7.95
2007,2K,NBA 2K8,Sports,PlayStation 3,7,81,0.5,9.95
2007,2K,Ghost Rider,Action,Sony PSP,4,49,0.23,16.95
2007,2K,The BIGS,Sports,Sony PSP,1,72,0.11,16.95
2007,2K,The Darkness,Action,X360,1,82,0.36,14.95
2007,2K,BioShock,Action,X360,1,96,1.52,16.95
2007,2K,All-Pro Football 2K8,Sports,X360,4,75,0.24,7.95
2007,2K,NBA 2K8 ,Sports,X360,1,81,0.83,9.95
2007,Activision,Transformers: Decepticons,Open World,Nintendo DS,1,66,1.17,17.95
2007,Activision,Transformers: Autobots,Open World,Nintendo DS,1,67,1.17,17.95
2007,Activision,Tony Hawk's Proving Ground,Sports,Nintendo DS,1,39,0.21,13.95
2007,Activision,Spider-Man: Friend or Foe,Action,Nintendo Wii,2,59,0.13,17.95
2007,Activision,Guitar Hero III: Legends of Rock,Simulation,Nintendo Wii,2,86,3.19,49.95
2007,Activision,Soldier of Fortune: Payback,Action,PlayStation 3,1,50,0.09,14.95
2007,Activision,Spider-Man 3,Action,PlayStation 3,1,60,0.27,17.95
2007,Activision,Tony Hawk's Proving Ground,Sports,PlayStation 3,2,73,0.37,12.95
2007,Activision,Soldier of Fortune: Payback,Action,X360,1,50,0.16,13.95
2007,Activision,Spider-Man: Friend or Foe,Action,X360,2,60,0.27,17.95
2007,Activision,Call of Duty 4: Modern Warfare,Action,X360,4,94,5.77,29.95
2007,Activision,Guitar Hero III: Legends of Rock,Simulation,X360,2,85,3.28,12.95
2007,Activision,Guitar Hero II,Simulation,X360,2,92,2.04,17.95
2007,Activision,Hot Wheels: Beat That!,Open World,X360,1,43,0.12,19.95
2007,Activision,World Series of Poker 2008: Battle for the Brac...,Simulation,X360,1,74,0.05,19.95
2007,Activision,Monster Jam,Sports,X360,4,43,0.18,17.95
2007,Activision,Tony Hawk's Proving Ground,Sports,X360,2,72,0.51,16.95
2007,Atari,Godzilla Unleashed: Double Smash,Action,Nintendo DS,1,28,0.11,17.95
2007,Atari,Dragon Ball Z: Shin Budokai - Another Road,Action,Sony PSP,1,65,0.27,16.95
2007,Atari,Mega Man Star Force: Dragon,Action-Role,Nintendo DS,1,60,0.41,27.95
2007,Capcom,Phoenix Wright: Ace Attorney - Trials and Tribu...,Adventure,Nintendo DS,1,81,0.27,17.95
2007,Capcom,Resident Evil 4,Action,Nintendo Wii,1,91,1.24,16.95
2007,Capcom,Zack & Wiki: Quest for Barbaros' Treasure,Adventure,Nintendo Wii,1,87,0.19,17.95
2007,Capcom,Monster Hunter Freedom 2,Strategy,Sony PSP,1,72,0.38,12.95
2007,Capcom,Capcom Puzzle World,Strategy,Sony PSP,1,65,0.01,19.95
2007,Capcom,Resident Evil: The Umbrella Chronicles,Action,Nintendo Wii,2,75,0.69,19.95
2007,Disney,Disney Pirates of the Caribbean: At World's End,Action,Nintendo DS,1,66,0.27,14.95
2007,Disney,Meteos: Disney Magic,Strategy,Nintendo DS,1,74,0.02,12.95
2007,EA,Orcs & Elves,Action-Role,Nintendo DS,1,68,0.03,14.95
